Chr	loc	tumour-brca-del-ch17
17	16046974	3
17	16049655	3
17	16049755	3
17	16049855	3
17	16052707	3
17	16052807	3
17	16054826	3
17	16054926	3
17	16055195	3
17	16055295	3
17	16056590	3
17	16056690	3
17	16062010	3
17	16062110	3
17	16062210	3
17	16068263	3
17	16068363	3
17	16068463	3
17	16075105	3
17	16075205	3
17	16075305	3
17	16089814	3
17	16089914	3
17	16090014	3
17	16097709	3
17	16097809	3
17	16097909	3
17	17116949	3
17	17117049	3
17	17117149	3
17	17118231	3
17	17118331	3
17	17118431	3
17	17118531	3
17	17118631	3
17	17119635	3
17	17119735	3
17	17119835	3
17	17120319	3
17	17120419	3
17	17120519	3
17	17122307	3
17	17122407	3
17	17122507	3
17	17124667	3
17	17124767	3
17	17124867	3
17	17125774	3
17	17125874	3
17	17125974	3
17	17127196	3
17	17127296	3
17	17127396	3
17	17129253	3
17	17129353	3
17	17129453	3
17	17129553	3
17	17129653	3
17	17131176	3
17	17131276	3
17	17131376	3
17	29230480	3
17	29230580	3
17	29422186	3
17	29422286	3
17	29422386	3
17	29482952	3
17	29483052	3
17	29483152	3
17	29485979	3
17	29486079	3
17	29490178	3
17	29490278	3
17	29490378	3
17	29496841	3
17	29496941	3
17	29497041	3
17	29508383	3
17	29508483	3
17	29508675	3
17	29508775	3
17	29509484	3
17	29509584	3
17	29509684	3
17	29527406	3
17	29527506	3
17	29527606	3
17	29527995	3
17	29528095	3
17	29528195	3
17	29528375	3
17	29528475	3
17	29533203	3
17	29533303	3
17	29533403	3
17	29541415	3
17	29541515	3
17	29541615	3
17	29545959	3
17	29546059	3
17	29546159	3
17	29548817	3
17	29548917	3
17	29549017	3
17	29550403	3
17	29550503	3
17	29550603	3
17	29552070	3
17	29552170	3
17	29552270	3
17	29553427	3
17	29553527	3
17	29553627	3
17	29554182	3
17	29554282	3
17	29554492	3
17	29554592	3
17	29556022	3
17	29556122	2
17	29556222	2
17	29556322	2
17	29556422	2
17	29556802	2
17	29556902	2
17	29557002	2
17	29557218	2
17	29557318	2
17	29557418	2
17	29557811	2
17	29557911	2
17	29559028	2
17	29559128	2
17	29559228	2
17	29559688	2
17	29559788	2
17	29559888	2
17	29560005	2
17	29560105	2
17	29560205	2
17	29562589	2
17	29562689	2
17	29562789	2
17	29562867	2
17	29562967	2
17	29563067	2
17	29575949	2
17	29576049	2
17	29576149	2
17	29579896	3
17	29579996	3
17	29584630	3
17	29584730	3
17	29585320	3
17	29585420	3
17	29585520	3
17	29586008	3
17	29586108	3
17	29587339	3
17	29587439	3
17	29587539	3
17	29588681	3
17	29588781	3
17	29588881	3
17	29592181	3
17	29592281	3
17	29592381	3
17	29626485	3
17	29626585	3
17	29652813	3
17	29652913	3
17	29653013	3
17	29653113	3
17	29653213	3
17	29654476	3
17	29654576	3
17	29654676	3
17	29654776	3
17	29654876	3
17	29657294	3
17	29657394	3
17	29657494	2
17	29661624	2
17	29661724	2
17	29661832	2
17	29661932	2
17	29662032	2
17	29663300	2
17	29663400	2
17	29663500	2
17	29663642	2
17	29663742	2
17	29663842	2
17	29664372	2
17	29664472	2
17	29664572	2
17	29664776	2
17	29664876	2
17	29664968	2
17	29665068	2
17	29665168	2
17	29665652	3
17	29665752	3
17	29665852	3
17	29667472	3
17	29667572	3
17	29667672	3
17	29669969	3
17	29670069	3
17	29670169	3
17	29676083	3
17	29676183	3
17	29676283	3
17	29677148	3
17	29677248	3
17	29677348	3
17	29679233	3
17	29679333	2
17	29679433	2
17	29683418	2
17	29683518	2
17	29683618	2
17	29683922	2
17	29684022	2
17	29684122	2
17	29684216	2
17	29684316	3
17	29684416	3
17	29685448	3
17	29685548	3
17	29685648	3
17	29685919	3
17	29686019	3
17	29687466	3
17	29687566	3
17	29687666	3
17	29694179	3
17	29694279	3
17	29700981	3
17	29701081	3
17	29701181	3
17	29705837	3
17	29705937	3
17	33427923	2
17	33428023	2
17	33428181	2
17	33428281	2
17	33428381	2
17	33430217	2
17	33430317	2
17	33430427	2
17	33430527	2
17	33433146	2
17	33433246	2
17	33433362	2
17	33433462	2
17	33433953	2
17	33434053	2
17	33434153	2
17	33434335	2
17	33434435	2
17	33443846	2
17	33443946	2
17	33444046	2
17	33445458	2
17	33445558	2
17	33445658	2
17	33446070	2
17	33446170	2
17	33446501	2
17	33446601	2
17	33446701	2
17	33446801	2
17	36096424	2
17	36096524	2
17	37855736	2
17	37855836	2
17	37856437	2
17	37856537	2
17	37863222	2
17	37863322	2
17	37863422	2
17	37864560	2
17	37864660	2
17	37864760	2
17	37865517	2
17	37865617	2
17	37865717	2
17	37866009	2
17	37866109	2
17	37866276	2
17	37866376	2
17	37866476	2
17	37866543	2
17	37866643	2
17	37866743	2
17	37868120	2
17	37868220	2
17	37868320	2
17	37868517	2
17	37868617	2
17	37868717	2
17	37869260	2
17	37869360	2
17	37871485	2
17	37871585	2
17	37871685	2
17	37871785	2
17	37871972	2
17	37872072	2
17	37872172	2
17	37872499	2
17	37872599	2
17	37872699	2
17	37872799	2
17	37872899	2
17	37873534	2
17	37873634	2
17	37873734	2
17	37875973	2
17	37876073	2
17	37879520	2
17	37879620	2
17	37879720	2
17	37879820	2
17	37879920	2
17	37880123	2
17	37880223	2
17	37880951	2
17	37881051	2
17	37881151	2
17	37881259	2
17	37881359	2
17	37881459	2
17	37881527	2
17	37881627	2
17	37881912	2
17	37882012	2
17	37882112	2
17	37882773	2
17	37882873	2
17	37883041	2
17	37883141	2
17	37883241	2
17	37883523	2
17	37883623	2
17	37883723	2
17	37883909	2
17	37884009	2
17	37884109	2
17	37884209	2
17	37884309	2
17	41196296	2
17	41196396	2
17	41196496	2
17	41196596	2
17	41196696	2
17	41196796	2
17	41197070	2
17	41197170	2
17	41197270	2
17	41197370	2
17	41197470	2
17	41197570	2
17	41197670	2
17	41197770	2
17	41197870	2
17	41198378	2
17	41198478	2
17	41198718	2
17	41198818	2
17	41198918	2
17	41199018	2
17	41199118	2
17	41199168	2
17	41199268	2
17	41199368	2
17	41199468	2
17	41199568	2
17	41199668	2
17	41199768	2
17	41199990	2
17	41200090	2
17	41200190	2
17	41200587	2
17	41200687	2
17	41200792	2
17	41200892	2
17	41200992	2
17	41201092	2
17	41201192	2
17	41201292	2
17	41201392	2
17	41201492	2
17	41201592	3
17	41201692	3
17	41201792	3
17	41201892	3
17	41201992	3
17	41202092	3
17	41202192	3
17	41202292	3
17	41202606	3
17	41202706	3
17	41202806	2
17	41202906	2
17	41203006	2
17	41203106	2
17	41203206	2
17	41203306	2
17	41203406	2
17	41203506	2
17	41203606	2
17	41203949	2
17	41204049	2
17	41204149	2
17	41204249	3
17	41204349	3
17	41204451	3
17	41204551	3
17	41204651	3
17	41204751	3
17	41204851	3
17	41205107	3
17	41205207	3
17	41205307	3
17	41205930	3
17	41206030	3
17	41206130	3
17	41206230	3
17	41206330	3
17	41206430	3
17	41206530	3
17	41206630	3
17	41207043	3
17	41207143	3
17	41207243	3
17	41207560	3
17	41207660	3
17	41207732	3
17	41207832	3
17	41207932	3
17	41208032	3
17	41208132	3
17	41208232	3
17	41208332	3
17	41208424	3
17	41208524	3
17	41208624	3
17	41208724	3
17	41208824	3
17	41208924	3
17	41209024	3
17	41209124	3
17	41209224	3
17	41210016	3
17	41210116	3
17	41210216	3
17	41210316	3
17	41210416	3
17	41210516	3
17	41210616	3
17	41210716	3
17	41210816	3
17	41210916	3
17	41211016	3
17	41211116	3
17	41211402	3
17	41211502	3
17	41211602	3
17	41211702	3
17	41211802	3
17	41211902	3
17	41212168	3
17	41212268	3
17	41212451	3
17	41212551	3
17	41212789	3
17	41212889	3
17	41213126	3
17	41213226	3
17	41213326	3
17	41213426	3
17	41213526	3
17	41213876	3
17	41213976	3
17	41214076	3
17	41214176	3
17	41214276	3
17	41214376	3
17	41214476	3
17	41214576	3
17	41215149	3
17	41215249	3
17	41215349	2
17	41215449	2
17	41215549	2
17	41215649	2
17	41215749	2
17	41215849	2
17	41215949	2
17	41216049	2
17	41216149	2
17	41216249	2
17	41216349	2
17	41216449	2
17	41216549	2
17	41216649	2
17	41216749	2
17	41216849	2
17	41217058	2
17	41217158	2
17	41217258	2
17	41217358	2
17	41217626	2
17	41217726	2
17	41217826	2
17	41217926	2
17	41218026	2
17	41218126	2
17	41218226	2
17	41218326	2
17	41218639	2
17	41218739	2
17	41218839	2
17	41219141	2
17	41219241	2
17	41219509	2
17	41219609	2
17	41219709	2
17	41219809	2
17	41219909	2
17	41220009	2
17	41220241	2
17	41220341	2
17	41220471	2
17	41220571	2
17	41220671	2
17	41220771	2
17	41220871	2
17	41220971	2
17	41221071	2
17	41221171	2
17	41221271	2
17	41221371	2
17	41221471	2
17	41221571	2
17	41221671	2
17	41221771	2
17	41221871	2
17	41222257	2
17	41222357	2
17	41222457	2
17	41222557	2
17	41222657	2
17	41222757	2
17	41222857	2
17	41222957	2
17	41223057	2
17	41223157	2
17	41223257	2
17	41223357	2
17	41223457	2
17	41223557	2
17	41223657	2
17	41224361	2
17	41224461	2
17	41224835	2
17	41224935	2
17	41225035	2
17	41225135	2
17	41225235	2
17	41225335	2
17	41225435	2
17	41225535	2
17	41225635	2
17	41225735	2
17	41225980	2
17	41226080	2
17	41226180	2
17	41226280	2
17	41226380	2
17	41226480	2
17	41226580	2
17	41226680	2
17	41226780	2
17	41226942	2
17	41227042	2
17	41227142	2
17	41227242	2
17	41227342	2
17	41227442	2
17	41227749	2
17	41227849	2
17	41227949	2
17	41228049	2
17	41228149	2
17	41228249	2
17	41228349	2
17	41228449	2
17	41228549	2
17	41228649	2
17	41228749	2
17	41228849	2
17	41228949	2
17	41229049	2
17	41229149	2
17	41229249	2
17	41229349	2
17	41229442	2
17	41229542	2
17	41229625	2
17	41229725	2
17	41230402	2
17	41230502	2
17	41230602	2
17	41230702	2
17	41230802	2
17	41230902	2
17	41231144	2
17	41231244	2
17	41231344	2
17	41231444	2
17	41231544	2
17	41231644	2
17	41231744	2
17	41231844	2
17	41231944	2
17	41232044	2
17	41232144	2
17	41232244	2
17	41232499	2
17	41232599	2
17	41232699	2
17	41232799	2
17	41232899	2
17	41232999	2
17	41233099	2
17	41233199	2
17	41233299	2
17	41233399	2
17	41233499	2
17	41233599	2
17	41233699	2
17	41233799	2
17	41233899	2
17	41233999	2
17	41234099	2
17	41234199	2
17	41234299	2
17	41234399	2
17	41234499	2
17	41234599	2
17	41234699	2
17	41234799	2
17	41234899	2
17	41234999	2
17	41235099	2
17	41235199	2
17	41235456	2
17	41235556	2
17	41235656	2
17	41235756	2
17	41235856	2
17	41236443	2
17	41236543	2
17	41236643	2
17	41236743	2
17	41236843	2
17	41236943	2
17	41237043	2
17	41237143	2
17	41237243	2
17	41237344	2
17	41237444	2
17	41237544	2
17	41237644	2
17	41237744	2
17	41237844	2
17	41237944	2
17	41238044	2
17	41238144	2
17	41238244	2
17	41238344	2
17	41238444	2
17	41238544	2
17	41238644	2
17	41238744	2
17	41238844	2
17	41238944	2
17	41239044	2
17	41239144	2
17	41239244	2
17	41239344	2
17	41239668	2
17	41239768	2
17	41239868	2
17	41239968	2
17	41240068	2
17	41240168	2
17	41240268	2
17	41240368	2
17	41240468	2
17	41240568	2
17	41240668	2
17	41240768	2
17	41240868	2
17	41240968	2
17	41241154	2
17	41241254	2
17	41241349	2
17	41241449	2
17	41241667	2
17	41241767	2
17	41241806	2
17	41241906	2
17	41242006	2
17	41242106	2
17	41242206	2
17	41242306	2
17	41242631	2
17	41242731	2
17	41242831	2
17	41242931	2
17	41243031	2
17	41243131	2
17	41243231	2
17	41243331	2
17	41243431	2
17	41243531	2
17	41243631	2
17	41243731	2
17	41243831	2
17	41243931	2
17	41244031	2
17	41244131	2
17	41244231	2
17	41244331	2
17	41244431	2
17	41244531	2
17	41244631	2
17	41244731	2
17	41244831	2
17	41244931	2
17	41245031	2
17	41245131	2
17	41245231	2
17	41245331	2
17	41245431	2
17	41245531	2
17	41245631	2
17	41245731	2
17	41245831	2
17	41245931	2
17	41246031	2
17	41246131	2
17	41246231	2
17	41246331	2
17	41246431	2
17	41246531	2
17	41246631	2
17	41246731	2
17	41246831	2
17	41246931	2
17	41247031	2
17	41247131	2
17	41247231	2
17	41247331	2
17	41247604	2
17	41247704	2
17	41247804	2
17	41247904	2
17	41248004	2
17	41248372	2
17	41248472	2
17	41248572	2
17	41248672	2
17	41248772	2
17	41248872	2
17	41248972	2
17	41249072	2
17	41249172	2
17	41249272	2
17	41249372	2
17	41249472	2
17	41249572	2
17	41249672	2
17	41249772	2
17	41249872	2
17	41249972	2
17	41250294	2
17	41250394	2
17	41250665	2
17	41250765	2
17	41251139	2
17	41251239	2
17	41251549	2
17	41251649	2
17	41251749	2
17	41251849	2
17	41251949	2
17	41252049	2
17	41252149	2
17	41252249	2
17	41252349	2
17	41252510	2
17	41252610	2
17	41252710	2
17	41252998	2
17	41253098	2
17	41253198	2
17	41253496	2
17	41253596	2
17	41253728	2
17	41253828	2
17	41253928	2
17	41254028	2
17	41254230	2
17	41254330	2
17	41254626	2
17	41254726	2
17	41254793	2
17	41254893	2
17	41254993	2
17	41255093	2
17	41255193	2
17	41255469	2
17	41255569	2
17	41255669	2
17	41255769	2
17	41255869	2
17	41256049	2
17	41256149	2
17	41256249	2
17	41256349	2
17	41256449	2
17	41256549	2
17	41256649	2
17	41256749	2
17	41256849	2
17	41256949	2
17	41257049	2
17	41257149	2
17	41257249	2
17	41257349	2
17	41257449	2
17	41257549	2
17	41257649	2
17	41257749	2
17	41257849	2
17	41258067	2
17	41258167	2
17	41258267	2
17	41258367	2
17	41258467	2
17	41258567	2
17	41258667	2
17	41258767	2
17	41258867	2
17	41258967	2
17	41259067	2
17	41259359	2
17	41259459	2
17	41259646	2
17	41259746	2
17	41259846	2
17	41259946	2
17	41260046	2
17	41260156	2
17	41260256	2
17	41260356	2
17	41260456	2
17	41261037	2
17	41261137	2
17	41261237	2
17	41261337	2
17	41261437	2
17	41261537	2
17	41261637	2
17	41261737	2
17	41261837	2
17	41262162	2
17	41262262	2
17	41262362	2
17	41262462	2
17	41262562	2
17	41262662	2
17	41262762	2
17	41263098	1
17	41263198	1
17	41263298	1
17	41263857	1
17	41263957	1
17	41264057	1
17	41264366	1
17	41264466	1
17	41264566	1
17	41264666	1
17	41264766	1
17	41265037	1
17	41265137	1
17	41265237	1
17	41265337	1
17	41265437	1
17	41265537	1
17	41265637	1
17	41265737	1
17	41265837	1
17	41266172	1
17	41266272	1
17	41266372	1
17	41266472	1
17	41266572	1
17	41266672	1
17	41266772	1
17	41266872	1
17	41266972	1
17	41267072	1
17	41267172	1
17	41267533	1
17	41267633	1
17	41267733	1
17	41267833	1
17	41267933	1
17	41268033	1
17	41268133	1
17	41268233	1
17	41268333	1
17	41268433	1
17	41268533	1
17	41268843	1
17	41268943	1
17	41269043	1
17	41269258	1
17	41269358	1
17	41269458	1
17	41269639	1
17	41269739	1
17	41269839	1
17	41269939	1
17	41270039	1
17	41270139	1
17	41270239	1
17	41270339	1
17	41270543	1
17	41270643	1
17	41270743	1
17	41270843	1
17	41270943	1
17	41271043	1
17	41271143	1
17	41271243	1
17	41271343	1
17	41271443	1
17	41271543	1
17	41271643	1
17	41271743	1
17	41271843	1
17	41271943	1
17	41272043	1
17	41272143	1
17	41272243	1
17	41272343	1
17	41272443	1
17	41272789	1
17	41272889	1
17	41273696	1
17	41273796	1
17	41273896	1
17	41273996	1
17	41274096	1
17	41274196	1
17	41274296	1
17	41274396	1
17	41274496	1
17	41274596	1
17	41274696	1
17	41274858	1
17	41274958	1
17	41275056	1
17	41275156	1
17	41275256	2
17	41275356	2
17	41275604	2
17	41275704	2
17	41275804	2
17	41275904	2
17	41276004	2
17	41276104	2
17	41276204	2
17	41276304	2
17	41276404	2
17	41276504	1
17	41276604	1
17	41276704	1
17	41276985	1
17	41277085	1
17	41277185	1
17	41277285	1
17	41277385	1
17	41277485	1
17	41277585	2
17	41277685	2
17	41277785	2
17	41277885	2
17	41277985	2
17	41278085	2
17	41278185	2
17	41278285	2
17	41278385	2
17	41278485	2
17	41278585	2
17	41278685	2
17	41278785	2
17	41278885	2
17	41278985	2
17	41279085	2
17	41279185	2
17	41279285	2
17	41280065	2
17	41280165	2
17	41280357	2
17	41280457	2
17	41280478	2
17	41280578	2
17	41280678	2
17	41280778	2
17	41280878	2
17	41280927	2
17	41281027	2
17	41281127	2
17	41281227	2
17	41281327	2
17	41281427	2
17	41281527	2
17	41281747	2
17	41281847	2
17	41281947	2
17	41282047	2
17	41282147	2
17	41282247	2
17	41282347	2
17	41282447	2
17	41282475	2
17	41282575	2
17	41282675	2
17	41282775	2
17	41282875	2
17	41282975	2
17	41283075	2
17	41283175	2
17	41283275	2
17	41283375	2
17	41283475	2
17	41283575	2
17	41283689	2
17	41283789	2
17	41284042	2
17	41284142	2
17	41284242	2
17	41284342	2
17	41284442	2
17	41284542	2
17	41285053	2
17	41285153	2
17	41285253	2
17	41285353	2
17	41285453	2
17	41285553	2
17	41285924	2
17	41286024	2
17	41286124	2
17	41286224	2
17	41286324	2
17	41286424	2
17	41286524	2
17	41286624	2
17	41286724	2
17	41286824	2
17	41286924	2
17	41287024	2
17	41287124	2
17	41287224	2
17	41287324	2
17	41287424	2
17	41287524	2
17	41287624	2
17	41287724	2
17	41287824	2
17	41287924	2
17	41288024	2
17	41288124	2
17	41289387	2
17	41289487	2
17	41289587	2
17	41289687	2
17	41289837	2
17	41289937	2
17	41290072	2
17	41290172	2
17	41290272	2
17	41290372	2
17	41290472	2
17	41290572	2
17	41290672	2
17	41290772	2
17	41290872	2
17	41290972	2
17	41291072	2
17	41291172	2
17	41291272	2
17	41291372	2
17	41291636	2
17	41291736	2
17	41291770	2
17	41291870	2
17	41291970	2
17	41292021	2
17	41292121	2
17	41292221	2
17	41292321	2
17	41292421	2
17	41292521	2
17	41292621	2
17	41292721	2
17	41292821	2
17	41292921	2
17	41293021	2
17	41293121	2
17	41293221	2
17	41293321	2
17	41293421	2
17	41293759	2
17	41293859	2
17	41294180	2
17	41294280	2
17	41294380	2
17	41294480	2
17	41294580	2
17	41294680	2
17	41295194	2
17	41295294	2
17	41295394	2
17	41295494	2
17	41295594	2
17	41295694	2
17	41295794	2
17	41295894	2
17	41296244	2
17	41296344	2
17	41296444	2
17	41296544	2
17	41296644	2
